Reported_Epoch,Loss_DV,Loss_DS,Loss_adv_vocal,Loss_adv_speech,Loss_Cycle_Vocal,Loss_Cycle_Speech,Loss_Identity_Vocal,Loss_Identity_Speech,Grad_Norm_DV,Grad_Norm_DS,Grad_Norm_GV,Grad_Norm_GS,num_DV_updates,num_DS_updates,Global_Epoch
18,0.5977,0.5951,0.1289,0.1357,2.1648,2.3101,4.9902,4.9948,0.0,0.0,0.0071,0.007,0.0,0.0,168
19,0.5983,0.596,0.1287,0.1357,2.156,2.3212,4.9597,4.968,0.0,0.0,0.0072,0.007,0.0,0.0,169
20,0.5982,0.5962,0.1285,0.1359,2.158,2.3061,4.9203,4.9726,0.0,0.0,0.0074,0.0072,0.0,0.0,170
21,0.5987,0.5956,0.1281,0.136,2.1654,2.3054,4.886,4.9695,0.0,0.0,0.0074,0.0072,0.0,0.0,171
22,0.6002,0.5953,0.128,0.1358,2.1152,2.255,4.8346,4.9371,3.4884,0.0,0.007,0.0068,1.0,0.0,172
23,0.7608,0.5953,0.0691,0.1358,2.1129,2.2467,4.7875,4.8959,0.5436,0.0,0.0074,0.0073,13.0,0.0,173
24,0.6385,0.596,0.1182,0.1356,2.2237,2.3507,4.7798,4.8927,0.1584,0.0,0.0083,0.0081,14.0,0.0,174
25,0.6094,0.5969,0.1434,0.1356,2.2299,2.356,4.7582,4.9168,0.6798,0.0,0.008,0.0079,5.0,0.0,175
26,0.7052,0.5946,0.0801,0.1359,2.1311,2.2727,4.6893,4.8746,0.3054,0.0,0.0073,0.0073,15.0,0.0,176
27,0.6311,0.5957,0.1129,0.1361,2.0647,2.229,4.6129,4.8517,0.1984,0.0,0.007,0.0068,13.0,0.0,177
28,0.5974,0.5953,0.1285,0.1358,2.032,2.191,4.5579,4.826,0.0,0.0,0.0071,0.007,0.0,0.0,178
29,0.5978,0.5956,0.1285,0.1359,2.0254,2.2006,4.5043,4.8129,0.0,0.0,0.0071,0.0069,0.0,0.0,179
30,0.5984,0.5967,0.1287,0.1358,2.0663,2.2136,4.4809,4.8084,0.0,0.0,0.0072,0.007,0.0,0.0,180
31,0.598,0.5972,0.1282,0.1355,2.0704,2.2194,4.4532,4.8053,0.0,0.0,0.0071,0.007,0.0,0.0,181
32,0.5981,0.5959,0.1285,0.1355,2.0718,2.2277,4.4531,4.7827,0.0,0.0,0.0069,0.0068,0.0,0.0,182
33,0.599,0.5966,0.1282,0.1354,2.0823,2.2306,4.3908,4.7964,0.0,0.0,0.0071,0.007,0.0,0.0,183
34,0.5982,0.5953,0.1283,0.1357,2.0881,2.2159,4.3479,4.7781,0.0,0.0,0.0073,0.0071,0.0,0.0,184
35,0.5985,0.5961,0.128,0.1358,2.0475,2.1786,4.2854,4.7347,0.0,0.0,0.0069,0.0067,0.0,0.0,185
36,0.5985,0.5952,0.1283,0.1354,2.0904,2.2046,4.278,4.7435,0.0,0.0,0.0073,0.0072,0.0,0.0,186
37,0.5991,0.5958,0.1277,0.1354,2.0656,2.1769,4.2174,4.7183,0.0,0.0,0.0068,0.0066,0.0,0.0,187
38,0.5986,0.5958,0.1279,0.1355,2.083,2.1916,4.1925,4.6925,0.0,0.0,0.0075,0.0073,0.0,0.0,188
39,0.5985,0.5961,0.1278,0.1358,2.0749,2.2069,4.1636,4.683,0.0,0.0,0.0074,0.0073,0.0,0.0,189
40,0.5991,0.5966,0.128,0.1356,2.0599,2.184,4.1531,4.7108,0.0,0.0,0.0071,0.0069,0.0,0.0,190
